city,鄉鎮市區,房型,season,price_pp,rent_pp,prr,skey
台北市,大安區,公寓,112S2,81.1,,,1122
台北市,大安區,公寓,112S3,80.7,,,1123
台北市,大安區,公寓,112S4,83.6,1068.0,65.2,1124
台北市,大安區,公寓,113S1,89.5,1187.0,62.8,1131
台北市,大安區,公寓,113S2,88.0,1157.0,63.4,1132
台北市,大安區,公寓,113S3,85.7,1155.0,61.8,1133
台北市,大安區,公寓,113S4,86.6,1121.0,64.4,1134
台北市,大安區,公寓,114S1,89.2,1124.0,66.1,1141
台北市,大安區,公寓,114S2,88.2,1174.0,62.6,1142
台北市,大安區,公寓,114S3,87.3,1203.0,60.5,1143
台北市,大安區,公寓,114S4,89.0,1074.0,69.1,1144
台北市,大安區,公寓,115S1,89.0,1134.0,65.4,1151
台北市,大安區,大樓,111S1,106.8,,,1111
台北市,大安區,大樓,111S2,105.1,,,1112
台北市,大安區,大樓,111S3,108.2,,,1113
台北市,大安區,大樓,111S4,115.5,,,1114
台北市,大安區,大樓,112S1,108.9,,,1121
台北市,大安區,大樓,112S2,110.1,,,1122
台北市,大安區,大樓,112S3,105.5,,,1123
台北市,大安區,大樓,112S4,100.5,1481.0,56.5,1124
台北市,大安區,大樓,113S1,108.0,1539.0,58.5,1131
台北市,大安區,大樓,113S2,114.1,1344.0,70.7,1132
台北市,大安區,大樓,113S3,125.8,1653.0,63.4,1133
台北市,大安區,大樓,113S4,135.2,1511.0,74.6,1134
台北市,大安區,大樓,114S1,121.2,1484.0,68.1,1141
台北市,大安區,大樓,114S2,117.8,1552.0,63.3,1142
台北市,大安區,大樓,114S3,128.4,1540.0,69.5,1143
台北市,大安區,大樓,114S4,139.9,1564.0,74.5,1144
台北市,大安區,大樓,115S1,127.6,1554.0,68.4,1151
台北市,大安區,華廈,111S1,94.9,,,1111
台北市,大安區,華廈,111S2,98.9,,,1112
台北市,大安區,華廈,111S3,101.8,,,1113
台北市,大安區,華廈,111S4,103.4,,,1114
台北市,大安區,華廈,112S1,97.0,,,1121
台北市,大安區,華廈,112S2,101.1,,,1122
台北市,大安區,華廈,112S3,105.7,,,1123
台北市,大安區,華廈,112S4,99.7,1583.0,52.5,1124
台北市,大安區,華廈,113S1,101.6,1474.0,57.4,1131
台北市,大安區,華廈,113S2,104.7,1476.0,59.1,1132
台北市,大安區,華廈,113S3,105.4,1415.0,62.1,1133
台北市,大安區,華廈,113S4,101.5,1441.0,58.7,1134
台北市,大安區,華廈,114S1,107.9,1474.0,61.0,1141
台北市,大安區,華廈,114S2,113.0,1395.0,67.5,1142
台北市,大安區,華廈,114S3,108.9,1469.0,61.8,1143
台北市,大安區,華廈,114S4,101.0,1415.0,59.5,1144
台北市,大安區,華廈,115S1,101.5,1575.0,53.7,1151
台北市,文山區,公寓,111S1,46.8,,,1111
台北市,文山區,公寓,111S2,45.7,,,1112
台北市,文山區,公寓,111S3,47.0,,,1113
台北市,文山區,公寓,111S4,46.7,,,1114
台北市,文山區,公寓,112S1,46.7,,,1121
台北市,文山區,公寓,112S2,47.8,,,1122
